Taxi Rank,Time the taxi join the queue,,,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key
Bergzicht,15:00:00,,15,0,15:57:00,CL19254,SOMERSET WEST,15,499,16,16:01:00,18-Jun-18,Weekday PM,18Jun-499-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,16:11:00,CF195069,EERSTERIVIER,10,511,16,16:31:00,18-Jun-18,Weekday PM,18Jun-511-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:29:00,CL82366,IDAS VALLEY,9,630,14,15:45:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:00:00,CL26788,IDAS VALLEY,9,630,15,15:14:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:29:00,MJACOBSWP,IDAS VALLEY,9,630,14,15:50:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:00:00,CL18264,IDAS VALLEY,9,630,15,15:00:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:15:00,CL55614,IDAS VALLEY,9,630,15,15:27:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:14:00,CL30861,CLOETESVILLE,9,636,15,15:13:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:25:00,CL40350,CLOETESVILLE,9,636,16,15:30:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:31:00,CL44603,CLOETESVILLE,9,636,16,15:37:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:44:00,CL65735,CLOETESVILLE,9,636,9,15:49:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:26:00,CL31272,DEVON VALLEY,10,664,12,16:00:00,18-Jun-18,Weekday PM,18Jun-664-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:00:00,CL44818,CLOETESVILLE,9,665,15,15:09:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:00:00,,15,0,15:16:00,CL65488,CLOETESVILLE,9,665,17,15:22:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
