Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,11:00,,11,0,11:44:00,CL36788,IDAS VALLEY,9,630,14,11:55,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-630-Saturday-Bergzicht
Bergzicht,11:00,,11,0,12:23:00,CL27056,IDAS VALLEY,9,630,15,12:28,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-665-Saturday-Bergzicht
Bergzicht,11:00,,11,0,12:05:00,CL66300,IDAS VALLEY,9,630,14,12:22,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-499-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:35:00,CL53491,IDAS VALLEY,9,630,15,11:43,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-636-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:18:00,CL24530,IDAS VALLEY,9,630,15,11:35,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-663-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:55:00,CL33233,IDAS VALLEY,9,665,15,12:05,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,11:00,,11,0,11:00:00,CL19254,SOMERSET WEST,15,499,16,11:07:00,30-Jun-18,Saturday,30Jun-499-Saturday-Bergzicht,,30Jun-664-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:01:00,CL30835,IDAS VALLEY,9,630,15,11:10,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-668-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:10:00,CL69021,IDAS VALLEY,9,630,14,11:18,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-670-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:00:00,CL40350,CLOETESVILLE,9,636,15,11:02:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,30Jun-676-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:04:00,CL14561,VLOTTENBURG,10,663,16,11:23:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,30Jun-none-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:23:00,CL62851,VLOTTENBURG,10,663,16,11:45:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,30Jun-660-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:00:00,CL48784,DEVON VALLEY,10,664,16,11:25:00,30-Jun-18,Saturday,30Jun-664-Saturday-Bergzicht,,30Jun-672-Saturday-Bergzicht
Bergzicht,11:00,,11,0,11:00:00,CL61881,KYLEMORE,13,668,15,11:00:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,11:00,,11,0,11:01:00,CL10332,JAMESTOWN,10,670,15,11:05:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,11:00,,11,0,11:00:00,CL37374,KAYAMANDI,10,676,16,11:04:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:00,,11,0,11:00:00,CL69507,KAYAMANDI,10,676,16,11:02:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:00,,11,0,11:00:00,CF95840,KAYAMANDI,10,676,13,11:08:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:00,,11,0,11:23:00,CFM46828,SOMERSET WEST,15,none,16,11:36:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,11:01,,11.02,0,11:36:00,CFM74978,SOMERSET WEST,15,none,16,11:46:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,11:01,,11.02,0,11:47:00,CFM14468,SOMERSET WEST,15,none,16,11:58:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,11:02,,11.03,0,11:58:00,CL34331,SOMERSET WEST,15,660,16,12:09:00,30-Jun-18,Saturday,30Jun-660-Saturday-Bergzicht,,30Jun-280-Saturday-Bergzicht
Bergzicht,11:02,,11.03,0,11:02:00,3JACOBS,CLOETESVILLE,9,665,15,11:07:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,30Jun-T43-Saturday-Bergzicht
Bergzicht,11:02,,11.03,0,11:08:00,CL78692,KYLEMORE,13,668,15,11:22:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,11:02,,11.03,0,11:24:00,CL13453,KYLEMORE,13,668,15,11:33:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,11:02,,11.03,0,11:11:00,CL915,JAMESTOWN,10,670,15,11:27:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,11:02,,11.03,0,11:00:00,CL47420,KAYAMANDI,10,676,15,11:12:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:03,,11.05,0,11:45:00,CL46025,KYLEMORE,13,668,15,12:10:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,11:03,,11.05,0,11:04:00,CF90182,EERSTERIVIER,9,none,14,11:26:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,11:04,,11.07,0,11:09:00,CF129556,KAYAMANDI,10,676,15,11:16:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:05,,11.08,0,11:33:00,CL37650,KYLEMORE,13,668,15,12:50:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
